UID	row_clusters-flat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	MUTATION	MUTATION	MUTATION	-	-	-	-	-	-	-	-	-
column_clusters-flat		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
SS18	1	-0.707839663302	-1.62535884663	-1.14013954341	-1.48157349775	3.13859451444	-1.13541905412	-1.07068357287	-0.640503313277	-1.26552503703	-0.987567020967	-1.10771417088	-0.220334308932	-0.707555542261	-0.907468188576	-0.804168534279	-0.478455512394	-1.04984873768	-0.680868501518	-1.15997154249	-1.4192279991	-1.33517820384	-0.91806795503	-0.988866618873	-0.58824374752	-1.57116171169	-1.35226126228	-1.00029894258	-1.53363676388	-1.37744150403	-1.49370690605	-1.44722353832	-1.38844350301	-1.15672817718	-1.00410401982	-1.33076954649	-1.19475126756	-1.51635537383	0.0150824355737	-0.639332227494	0.628113645325	0.110299871764	0.12912470939	0.760737177426	0.497588071287	0.585981426101	0.128841642698	0.211658932502	-0.660712293924	0.080399769099	0.531700805372	-0.428550769472	0.114073415678	0.335558073896	0.619250556914	-0.553341158389	-0.228006262969	-0.674279609957	-0.134610751696	0.647511006456	0.0485822045912	0.980032046749	0.562613910087	1.28766939781	0.985421927449	0.822238479767	-0.174235888676	0.403301156518	0.60741679966	0.753678068536	0.110596159906	0.0954295563157	0.247076532659	0.410020801568	0.148929773607	0.135876972338	0.263669056937	-0.119822475687	0.674320228214	0.0676605708635	-0.649067971989	-0.0993105059683	-0.484065964032	-0.287315554597	1.01866534448	0.43752956553	0.594916910798	0.178325577485	0.513035421746	0.456454825876	0.750109566737	0.609226071486	-0.0146237063363	1.06615243954	0.320733057366	0.498628386083	0.394756270611	0.883235503464	0.802027725777	0.568668856256	0.677377120367	0.650190407337	0.472314856873	0.11602331188	0.228790500853	1.11085663097	0.885895639634	-1.35565499002	-0.544025942258	-0.594961392243	-0.990546622563	-0.699296614115	-0.0405813793645	-0.397789455922	-0.444740079086	0.325948851691	-0.0990797207624	-0.75039824747	-0.583696963676	-1.06367259636	-1.16433810436	-0.653827779155	-1.2310900319	-0.405355110472	-0.850569993917	-1.19375380481	-1.55686723819	-0.942981333393	-0.836351729168	-0.814926413562	-0.722591858157	-1.71770007681	-0.562411161618	-1.0757371416	-1.17803897162	-0.824538712386	-1.23715802001	-1.33965552712	-0.83606257205	-0.963976763523	-0.603847899628	0.0642415733666	-0.516997413877	-0.055296682614	-0.98294588725	-1.34615796803	-1.31579968603	1.85008918385	-0.329129651216	-0.360712524572	-0.587160465703	0.100338596583	0.778921112511	0.24295965174	-0.540802178029	0.116056572022	-0.692977815947	-0.893498522289	-0.984131820514	-0.19065279128	-0.407110556506	-0.150422013725	-0.931894260781	-0.476340035765	-0.0824371153101	0.00438230643442	-0.270882449102	0.0713036159617	0.205374294564	0.238299403576	0.117183932748	-0.344079134199	0.0453817834459	-1.43894027138	-1.06837098747	-0.586215480677	-0.0826960127681	-0.286967794137	-0.333540228061	-0.530023310495	0.0356152777869	-0.693819207553	0.210412650557	-0.488412889958	0.418003054478	0.340170326542	-0.331534681725	0.238832095995	-0.86890200432	-1.00161736443	-0.398249545297	-0.419939707474	-0.51998799106	-0.286613049703	0.707465507478	0.425834418487	-0.419785087518	-0.0928245077017	-0.634935492293	-0.157827445242	0.802828045165	1.28109819976	0.955674538691	0.969399862256	1.80875252256	1.648212881	0.758770357629	2.88608089184	2.37517488518	2.66426391128	0.279088235629	0.705170946447	-0.216274740026	-0.891670918543	-0.727080949925	-0.354218377347	2.01496367294	0.243823151155	1.17263359269	1.58549748252	1.38205816917	0.836847391579	0.82024979086	1.19782552931	0.374142580256	0.785025719183	1.21083314623	1.11768743645	1.96485566626	1.61196274481	2.21161829896	1.39522089807	0.952632017604	2.8855042271	3.041580469	2.51009697716	2.17174615962	1.54775855357	1.3640703083	1.59434138626	1.91906975569	1.24223501382	1.27384278982	0.606638916626	2.42178301486
CASP2	1	-1.1258428498	-1.3072345917	-0.741505302673	-0.382497512422	-0.27306774031	-0.102271420229	-0.611997808958	0.354045052024	-0.733878515664	0.133701985707	-0.404114404203	-1.30223476251	-0.962511222145	-0.911836019049	-0.102915882119	-0.27765038037	-0.694192346793	-0.652930253535	-0.370958267303	-0.696641726958	-0.527185328539	-0.979906909534	-0.963528996047	-0.383123787479	-0.917848608723	-0.906461427312	-1.13354190708	-0.982034003883	-0.743584189922	-0.559106818508	-0.780448818282	-0.953247077154	-1.15651653678	-1.41679596596	-0.125888125641	-1.09618989065	-1.03299095495	-0.794484827936	0.467577802854	-0.312013962267	0.12045790972	-0.230737444694	0.369850224406	0.238839701479	-0.0499531378742	0.0748269923139	0.849012550729	0.781160658514	0.20480755189	-0.0646223670935	0.380166282222	-0.322490539852	-0.724801123717	-0.43743613419	-0.681899804875	-0.0254298518205	0.133262357175	0.600930369989	0.0186474275313	-0.53889703332	-0.833162013194	-0.13078578851	0.165426701164	-0.598185413173	-0.544552004393	-0.519090768565	-0.634663190086	-0.11073874188	-0.409829894102	-0.392013378712	0.0469093955834	0.0673017111517	0.581101587283	0.30601495842	1.17582110371	0.67124962214	-0.193727679625	0.762774900927	0.728071277205	0.0131602862509	-0.838958137674	-0.37090661942	-0.131065643356	0.270464018436	0.622209395994	1.33998794627	1.20301048671	-0.164339268012	0.479379599029	0.346863417655	0.224137580873	0.0547685645203	0.0394208813706	-1.00896392356	1.57600118401	0.984274584867	1.3821696707	0.54348659041	0.245099709979	0.50726879244	-0.892905603891	-0.943605573984	-0.0116487228762	0.277016404523	-0.138573697061	-0.52372743343	-1.19036644367	-0.89814899938	0.665411599682	0.236043868772	-0.363282165506	-0.172246921153	-0.486871548298	-0.214724297962	0.127110278756	0.326860493645	-0.457101203432	-0.768947152687	-1.14583723845	-1.0893503541	-1.12681314483	-0.673564010951	-0.621877887791	-0.617122849276	-0.502204300731	-0.713703053455	-0.604398931937	-0.632148381524	-0.91204767342	-0.949457510505	-0.748176327521	-0.630712808095	-0.00491214632623	-0.252635107111	-0.67459824214	-0.111059605509	-0.106056892634	-0.463305234154	-0.107191106008	0.0749623005128	-0.877637977405	-0.745335895586	-0.960394092586	-0.617310006432	-0.901599368969	-1.24667412017	-0.686297405615	0.853631777286	-0.679510333182	-0.438365519055	0.738874338258	0.738095925334	0.18892793082	-0.371133877088	-0.575176169727	-0.308997468449	-0.0338871783111	0.00684918648167	0.0244848555894	-0.659307271977	-0.721751271605	-0.0878635853466	-0.149012157485	-0.280421109675	0.0922807878442	-0.570733735471	-0.146387559391	-0.737775882438	-0.523104919029	-0.727649552225	-0.375310141315	-0.515641201127	-1.22375547114	-0.754384096772	-0.854840703603	-0.750023900866	-0.579385012636	-0.597593679106	-0.619728388573	0.201049745859	-0.913272136717	0.00987338324488	0.272425997824	-0.45334427248	-0.819534303056	-0.229588732507	-0.998662469038	-0.698114937527	-1.03658614565	-0.827442796093	-0.376067066161	-0.77065983035	-0.576038257959	-0.576400087003	-0.584196822017	-0.319829573279	0.312525989494	-0.278549211475	-0.407613892318	-0.545356833038	2.00083328963	0.950310623878	1.02718544802	1.7124732976	1.72773553385	1.03936864562	1.06226172941	2.15104345476	1.33961962799	1.70512608157	0.992011999427	0.971196778488	0.475684183855	-0.675574366785	-0.377053300659	0.606090200298	-0.35290065174	-0.223345434602	0.280203813425	0.0852469785355	0.493703227346	-0.633686595695	-0.336654282858	1.96654110204	2.36367442625	2.12568295704	1.67753548131	0.855023892128	0.908167641357	0.585434154018	1.22434382307	1.39431207711	3.49251484469	3.68675500878	2.81251152376	2.98412193606	0.70491630208	3.39175082355	3.40373417505	2.5877789915	4.29202255387	3.61198285493	1.3763210427	1.17790644367
ZFX	5	-0.826280530538	-1.60128314208	1.22913031808	-0.579387967937	-0.253075340514	1.22672674441	1.10097348621	2.00026714323	-0.630596181988	-1.15757221865	-1.08144532199	-1.27190684128	-1.66526074397	-1.15954604103	-1.35959894274	-0.966269718319	-0.198445164082	-1.05329832059	-1.20812777196	-1.07040151511	-0.496740988103	-0.276152067023	-0.585950619117	-0.571489797548	-0.133808445841	0.236578983395	-0.886686101782	-1.18348514469	0.12337166767	-0.730121969231	-1.61451728717	-1.24618129557	-1.31491857674	-1.88349272401	-0.691078435536	-1.09881551169	-1.48132331452	-0.541665913752	0.237500031194	0.217508667386	-0.137647424167	0.215192505456	0.247242897115	0.506846959993	0.279403975222	-0.31352103079	0.732674708792	0.174064929703	0.620533401095	0.266884096134	0.295854445175	-0.282333331328	0.429375903301	0.213924362181	-0.126411198296	-0.395271464304	-0.39596127009	-0.75124687199	-0.184080727981	-0.361104793466	-0.612944872521	-1.48835546799	-0.178279034323	-0.308590601583	-0.515057128506	0.3108437292	0.16331922286	-0.186149827222	-0.225271001611	-0.0126665185558	0.298712501272	0.180318426838	-0.358156663474	0.0739837613462	-0.212297007668	-0.301363506065	0.521984872173	-0.451972332484	-0.675841095542	0.539354800768	-0.475539576821	-0.092918676055	0.341637945402	0.792227267604	-0.165118569687	-0.115159854433	0.409742007192	-0.165731868628	-0.452098029168	-0.266853816983	-0.320087945905	-0.0322107229736	0.825386669232	0.655824910329	-0.0944949311833	-0.641122550536	-0.19986139366	1.37086775235	0.880269021767	0.664638228116	-0.562878831433	-0.786160121833	0.596120160401	1.12991643491	0.457019593329	-0.122411091733	-0.691113273714	0.0457889450421	-0.628964349148	0.45357065663	0.602436778444	-1.08993099487	-0.843994663628	-1.26334535963	-1.15397671999	-0.166370117083	-1.07960589334	-0.0460300712335	-0.421561350786	-0.841732006536	-0.636929514738	-0.680783689706	-0.7689717823	-0.387648651897	0.237074308661	0.308154971811	-0.0796530551129	0.00892657814747	0.218135566388	-0.179361407901	0.370912075321	0.788081077016	-0.46009440069	-0.527087149333	-0.334162418564	-0.484545744387	-0.565728037077	-0.930757327688	-1.35754244344	-0.779611306909	-1.16892051574	-0.843373781755	-1.20425917274	-0.850205280065	-0.634593725503	0.802729504145	-0.705497584585	-1.36909340405	0.919901544203	1.67004491065	0.832462261247	1.44285017966	-0.051845694649	-0.448479135848	-0.470475707719	-0.466410409741	-0.838970831129	-0.546538906085	-0.534926340165	-0.00389670873126	-0.0304123785422	-0.137100917692	0.559454800313	0.317556292037	-0.291000142954	-0.159138643353	0.0198590942525	0.0106826325643	-0.576120297035	-0.235143236194	-0.151413573401	-0.104502998658	-1.10141797525	-0.554963010651	-0.817445626252	-0.765756769949	-0.680462389866	-0.372990142153	-0.920842898831	-0.00358621108357	0.402421663192	-0.368310014889	-0.570376741022	-0.620110092401	-0.390255690429	-0.987905589532	-0.86899435614	0.0657781233491	-0.459572523162	0.643845924534	0.356814884088	0.0402903666091	0.0372138121773	-0.230911410181	-0.403172009366	-1.07649336807	-1.03973768062	-1.202706922	-0.971554267265	0.722181004618	-0.0404207017647	1.07463141506	2.62195456884	2.55503530353	1.41033205686	2.59132824547	1.37593695745	0.375337627557	1.27344242996	1.77098892824	2.00444012818	0.0767332861738	1.53714060425	-0.138134934553	-0.116819725778	1.06942285832	-0.727304472989	0.416469510837	0.290147389572	-0.179811628203	-0.637157711391	0.973344872704	1.33268869639	0.162628146973	-0.0811833232168	0.772680849466	0.452359349423	0.920863241258	0.747614164267	0.321694845323	-0.136035440898	0.617415399622	3.55547318096	3.62059865174	4.12615578304	0.807726909906	2.3396432857	1.44308281293	-0.186547268096	3.70259314903	3.55110500321	1.59689075418	1.49684447202	3.23076175375
PIAS2	4	-1.65063302763	-0.632388964099	-2.6783048832	-1.53835664415	-1.44390915678	1.65836793548	0.35333903258	-1.13381692172	-1.23227437798	-1.32248518727	-1.18673691134	0.0527059847073	-0.477829869304	-0.738706691632	-2.07033566875	-1.56307772689	-1.48742901403	-1.45222951388	-0.869901629488	-0.561169773903	-1.37960408804	-0.837995405698	-0.668531795102	0.366152904809	-1.00512763444	-0.140463714617	-2.15874933749	-1.9495684222	-1.58614912891	-1.59999680449	-0.786503819206	-0.48128223604	-1.37667634465	-1.26502964287	-1.31745057538	-1.79970566552	-0.859801124087	1.09352461414	1.22144743522	0.928967789306	0.756180310803	-0.17500350342	0.330048953423	0.124504513697	0.0566890918944	0.0166809834497	-0.143148381663	-0.202282182744	0.487701393836	0.38490778988	-0.144023951395	-0.425922501563	0.252821982333	-0.26527218155	0.913359823906	0.98424554995	0.605629493103	-0.18931071535	-0.279919151928	0.163680519206	-0.194474506174	-0.186121281876	-0.352735629219	0.0449682163696	0.037200960534	0.479833066906	-0.0158121485093	0.381461609075	0.093847611641	-0.0705388641251	-0.0107426994774	0.0127828189681	0.982050666547	1.06238362307	0.233166086408	0.540853370687	1.24539875127	0.787301204753	1.08289225669	1.27558425476	2.04927246912	1.41298843418	1.85667116255	0.777807526624	1.48962557212	0.991792835079	0.848570622735	1.53169461795	1.47103310509	1.49350050873	1.38065682546	0.897273598658	1.56417799512	1.56498117578	1.53172235114	0.892472513507	0.669274720768	-0.153488887233	1.27927723985	0.815339322633	-0.321143440376	0.52740383656	0.356284895583	0.254071512245	0.213175815837	0.523534040649	0.643457780815	1.03657997072	-1.24207981985	-0.966688553359	-1.1780099309	-1.06550559169	-0.984794142009	-1.25593973998	-0.327876975896	-0.637998186557	-0.410532232672	-0.208813805688	-0.0202056198312	-0.433465563611	-0.599930822045	-0.978329922869	-0.840285893112	-0.813056865779	-0.656297221297	-0.482608630234	-0.960598631081	-0.731083043664	0.179876067179	-0.181690590047	-0.100567108231	-0.976749635275	-0.643696179767	-1.12582356862	-1.12475580483	-0.130830527933	-0.122100701455	-0.633602798158	-0.114489833906	-0.245665487791	-0.593561230144	-1.32228306711	0.356209031007	-0.265912788848	0.15752055907	0.300210286722	-1.0175384449	-0.527742610165	-1.21767390889	-0.638280293264	-0.697548223418	-0.0729572783225	0.171748666349	0.866305447837	0.70421329097	0.0349011071713	0.355320413563	0.0958729885284	-0.384634425221	0.0620184530986	0.101778223386	0.198439674439	0.0698259843182	-0.0983743911393	-0.0330574317873	0.173521870794	-0.0191079013721	0.205768493529	-0.454559903817	-0.383096090573	-0.604551597562	-0.472948949707	-0.113365498004	-0.919194700258	-0.737511214299	-0.737209147259	-1.42812999682	-0.832999532364	-0.578846246175	-1.07359164518	-0.40131753893	-0.70720082035	-0.611191886317	-0.750411231843	-0.771621230244	-0.413798174601	-0.918436330567	-0.289911171983	-0.189729106704	-0.190183830838	-0.722113225242	-0.354387206565	-1.17773880185	-0.516440753323	-0.807879638984	-0.388700889746	-0.783671427958	-0.125434359115	-0.977976072377	-0.174738742337	0.51626010145	0.561818020645	0.34653067353	0.445400528597	0.875839826711	-0.0422023894949	1.80007088772	1.12131864842	1.75225542669	2.21891834711	1.17571062985	-1.01578185815	-1.04958686863	-1.10770192802	-1.04056062115	1.45686834871	1.45526893511	1.31150559997	0.496702678334	0.168181475737	1.01483257996	-0.491816213131	0.591325260971	0.0101363447429	-0.033667774062	1.15913392204	2.50764344635	1.05465410308	0.55499747342	1.35578513013	1.27332690472	1.56756561221	4.03818818317	2.44413839454	2.90238589647	0.819447586992	0.754971113805	-0.0861573420359	1.6008920888	1.86407265683	-0.175986973547	2.12917634525	0.912683747191	0.742397554116
CXorf15	3	0.994694473012	1.81608004045	-1.31519479613	-0.521277570982	-1.33460163182	-0.752661208227	0.749295504366	-0.319593475465	-1.31854048568	-1.09568464141	-1.3642410085	-0.778830115184	-1.21307110012	-1.35098615757	-0.20729104894	0.587996184568	0.5446704886	-1.0581871981	-0.849793943314	-0.901226106315	-0.0697154974054	-0.836358866729	-0.457057262664	-1.45189344797	-1.1778789555	-0.467881842466	-1.24168735689	-1.63352406954	-1.05184504617	-1.44906846092	-0.249772563892	-0.199925094899	0.00981870666411	-0.131501933522	-0.812443859776	-0.468654705622	-0.395851462541	0.68076580589	0.351855867699	0.796935563972	1.01082869771	1.18784097997	0.718897473968	0.657318674192	1.03400006403	1.09579759844	0.0843909575237	0.80439817595	-0.0955279234825	-0.305812749593	-0.180506703448	0.365486344507	0.503424984182	-0.0602857881634	-0.445241457757	-0.421820662908	-0.602115322209	-0.257213255518	-0.422363708982	-0.373098296984	0.647667063784	0.466846414702	-0.477753806824	-0.197993596081	0.144445517237	0.285903262557	0.438528599523	0.611360333465	0.313169815771	0.618220771731	0.174482281121	0.391372847868	-0.0522938211035	-0.350003036884	-0.745312543821	0.134765734351	-1.23772667367	-1.15889348225	-1.14095586698	-1.37608869759	-0.0175518233347	-0.50660117534	-0.516263545525	-0.570168658138	0.213210365388	-0.368115319336	0.112193575296	-0.800695044705	-0.130226855754	-0.194769086953	-0.525379903663	-0.409108634145	0.608092202535	1.05546393307	-0.0896707953519	0.503273303174	0.71135889807	0.687954515763	0.615979404689	0.247904957369	0.421597730064	-0.0147728289333	-0.15847574811	0.0574061301907	-0.406750579319	-0.4283615299	0.339403431037	-0.578025399087	0.249439256817	0.0532078088807	-0.0294143581662	0.295315450791	0.510629557831	0.0582939833006	-0.152061346357	-1.07214996702	-0.294100456523	-0.601744131418	-0.325190095762	-0.934998856037	-0.832468800573	-0.588439346381	-0.917341242022	-0.310139815326	-0.976396270713	-0.681889960934	-0.937056127564	-0.915493917543	-0.967537944307	-1.58033614332	-0.973171110734	-1.09456163278	-1.58440661654	-1.44158320671	-1.41033734898	-1.29364845872	-1.3226913785	-1.03178697092	-0.899375928615	-1.22707461389	-1.60484227745	-0.996083215584	-1.39265352462	-1.12712968823	-0.897354238131	-0.65958890425	0.233196328216	0.087468628877	1.17349387329	0.33976416262	-0.991184456725	-0.553308633583	-1.14274213527	-1.02012662632	-0.997484556906	-0.127885204128	-0.61596730592	-0.310960614211	-0.835466706278	-0.587670943659	-0.569227013117	-0.305046928419	-0.470785398059	-1.12813063063	-0.559917440134	-0.0154713926205	0.0329036699322	0.0585281819778	0.194310272767	0.0103837409237	-0.152275279527	-0.0535728188569	0.289522466547	-0.428927270338	-0.171567473147	-0.0426869695431	-0.177465152233	-0.834662495043	-0.215771810536	-0.595397443285	-0.513505530596	0.544943058242	0.669331767288	0.607100939932	0.909415668452	0.942621014426	0.89256401264	0.327269579428	0.421513466485	0.423497100676	0.586999737168	0.602119477951	0.285790885407	-0.292016524486	-0.497416848327	-0.414239953913	-0.198624461994	0.411591634114	0.164486649185	-0.97078518252	-0.261904005652	0.603050479372	0.394990404174	0.197244648599	1.00334045406	2.43119904064	0.490329432286	1.12716887668	1.20682849973	0.776045538242	2.4940603054	1.99207280567	1.70898572338	2.39870946754	2.61328938802	-0.847831768857	-0.694680184167	0.0794431170024	0.0662177650818	-0.266540009595	-0.556986023123	1.1257895849	1.50806320543	1.34168413123	1.65089776896	1.03347159663	0.42930187512	-0.262981784823	0.344873823924	-0.269607131952	1.39237807527	0.68127550947	3.46932122329	3.43776028646	3.1359930258	0.633394233044	0.95091101943	1.21827179202	0.963151843548	3.12660569279	1.43699785285	2.6649612899	4.29724321707	2.51993219757
PCTK1	2	-2.30789438533	-1.35542667536	-1.7364630243	-2.94691335555	-1.49310284234	-1.60567194927	-2.49544653323	-1.36324407176	-0.540576602042	-0.446799811759	-0.176975837499	-0.671182327113	-0.0785526985838	0.296938770039	-0.181175435613	-1.12256332441	-0.625066179222	-1.44740623738	-1.43247492727	-1.42756159809	-1.32181092287	-1.40605531007	-1.36477275346	-1.61491990464	-0.887285518134	-1.90336075272	-0.864051919229	-0.364680032994	-1.32744931043	-0.858137023762	-1.41702504061	-1.42041441395	-0.878868935244	-0.804477794955	-2.03736508213	-1.55052587157	-1.86647055731	0.806966946771	0.200844132323	0.0570791279891	0.747393517603	0.483543641292	-0.0730607001054	0.510997472189	-0.738934217583	-0.749370195628	-0.100572974402	0.141460889572	-0.153651666564	0.156447410236	0.755950635272	0.473984662078	0.152512164226	0.442420615438	0.611231255791	0.387220804105	0.511502357428	0.623030555171	0.105267878415	0.412383839428	-0.35975956983	-0.108802103247	0.274125474014	-0.128932215451	0.0439998906279	-0.561658577354	-1.17234920916	-0.431505268796	-0.477351088866	0.184089690556	0.124145270893	0.0445995413207	-0.605956831948	-0.372072924567	-0.567458346644	-0.977767448127	-0.556787002428	-0.0754048370653	-0.230801612504	0.754392120854	0.614573052382	1.22813998349	0.500742830501	-0.527359689148	-0.99636603913	0.0655625623138	-0.342457236401	0.15279291002	0.41929675924	-0.285373347729	0.546601949874	1.23029822456	0.60786558961	0.661335727398	0.448144345955	0.849465312	0.254632150273	0.0766869941359	0.354459560255	0.13885780082	1.05364427444	1.17237148989	1.20170479154	1.06983325058	0.75100460142	0.871266863193	-0.884833388783	-1.06178197885	-1.21114996801	-1.14353019094	-0.838596874746	-1.08644377715	-0.860998041831	-0.866946554065	-1.29535332507	-1.44100730273	-0.565859858464	-1.0669720886	-0.670203950213	-0.848905734599	-1.37846899028	-0.593818566138	-0.923515104305	-1.05260657872	-0.555597006855	-0.49666034853	-0.787701875984	-0.351165766362	-0.893557907294	-0.34818100199	-0.732580543103	-0.705910419697	-0.87120881145	-0.104543853435	0.0733596828584	0.352685252261	-0.407200036734	-0.397835375513	0.0239297795722	-0.0233551064446	-0.522645245351	0.400666827519	0.379931096332	1.34146326412	1.03756712136	0.880392497859	0.0923134869163	-0.752678563544	-0.731646811161	0.168139319596	0.0246698604829	0.228684945742	-0.570137900709	-0.460543184271	-0.428193219131	-0.645033826696	-0.480977560129	-0.0969117067658	-0.504122817928	-0.147705572301	-0.666066852049	-0.398151634122	-0.0415804875109	0.176642811901	-0.203166385939	-0.0759163165806	-0.455549491278	-0.271886044638	0.107806078441	0.183555448876	0.187566003406	-0.590471016398	0.359247412062	0.758407335131	0.810997467779	0.655891716529	-0.0245801567565	0.280225474687	-0.0816808940027	-0.114935818255	0.0628720946541	-0.49210404904	0.15111334972	0.422962548652	-0.0157173313109	-0.494969924167	-0.0728715058051	-0.028706445703	-0.163898388262	-0.342888665111	-0.440564772289	-1.30035444081	-0.549384863239	-0.337303003632	-0.6553836509	0.0550247446797	0.304640027435	-0.0119762974372	-0.0991133244217	1.77419091899	1.86947972981	2.35207811618	1.7040916872	1.20441429337	1.75252327006	-0.695814692684	1.56712913417	0.743001463328	0.351948326151	1.50538818076	1.06050003668	0.50789959326	1.47182336284	1.28323336291	1.05306536159	-0.175536357743	1.46588974251	0.838493873698	1.04144934232	1.28705501423	1.82482053478	1.41392071827	0.857484627127	0.698811894683	0.410228293356	0.343213376715	1.0866223041	1.43984965525	1.4767682763	0.784098786788	0.987705544394	0.66272574697	3.47115925123	2.03622478524	2.95021730787	3.28705844633	2.56026829423	1.41989945424	2.06996455906	1.07241001919	1.47881791884	2.02349901513	1.0342084785	1.22738417308
