UID	row_clusters-flat	MUTATION	-	MUTATION	MUTATION	MUTATION	MUTATION	MUTATION	-	MUTATION	MUTATION	-	-	MUTATION	MUTATION	MUTATION	-	MUTATION	MUTATION	MUTATION	MUTATION	-	MUTATION	-	MUTATION	MUTATION	MUTATION	MUTATION	-	MUTATION	-	-	-	-	MUTATION	-	-	-	-	MUTATION	-	-	-	MUTATION	-	MUTATION	-	-	MUTATION	MUTATION	-	MUTATION	MUTATION	-	-	-	MUTATION	MUTATION	MUTATION	MUTATION	MUTATION	-	-	MUTATION	-	-	-	MUTATION	-	-	MUTATION	-	-	-	-	-	-	MUTATION	MUTATION	-	MUTATION	MUTATION	MUTATION	-	-	-	-	-	-	-	MUTATION	MUTATION	-	-	-	-	-	MUTATION	-	-	-	MUTATION	-	-	-	MUTATION	-	-	-	-	-	-	-	MUTATION	-	MUTATION	-	-	-	-	-	-	-	MUTATION	MUTATION	-	-	MUTATION	MUTATION	-	-	-	MUTATION	MUTATION	-	-	-	MUTATION	-	-	-	MUTATION	-	-	MUTATION	MUTATION	-	-	-	-	-	-	-	-	-	-	MUTATION	-	-	MUTATION	-	-	-	-	-	-	-	-	-	-	-	-	-	-	MUTATION	-	-	-	-	-	MUTATION	-	MUTATION	-	MUTATION	-	-	-	-	-	-	-	-	MUTATION	-	-	-	-	-	MUTATION	-	-	MUTATION	MUTATION	-	-	MUTATION	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	MUTATION	-	-	MUTATION	-	-	-	-	MUTATION	-	-	-	-	-	-
column_clusters-flat		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Polyamine metabolism	1	-2.94942135531	-4.11896063485	-3.09562504984	-1.8005591241	-1.1441040883	-3.44877153839	-2.80781701211	-4.24949012758	-4.56893408462	-3.29921865154	-6.05400585408	-4.45745432909	-4.31360348944	-5.98644255314	-4.35173723501	-4.40357909654	-5.95609991111	-4.44806443054	-7.92754603249	-5.03707265979	-4.84048815143	-4.55848023907	-4.86327053746	-4.58194205858	-5.12120277319	-5.24863548668	-6.32626063968	-5.94879544848	-1.23997517231	-0.799330197089	-1.65067362431	-0.958215861212	-0.358513369678	-0.445033878704	-1.83274571383	-1.18503954128	0.0964489952574	-1.33447105928	-1.39424275105	-1.15797712339	-1.16088131645	-1.87666262345	-0.998636578176	-1.34760268409	-1.99264391389	-0.125520092233	-2.27382790696	-0.919477117379	-0.675510668959	-2.91840980063	-1.63534194236	-2.67789123535	-2.28817903629	-0.845743727808	-1.33468769896	-0.913486461171	-0.765778862288	-0.108557881965	-0.580565630933	-0.488812850632	-0.549092229676	0.0245204800542	-1.20595800499	-1.36787224686	-0.801887776304	-0.646089422644	0.141981405736	0.572736232724	-0.0755934514526	0.203464427643	-0.100393975202	0.532247370193	-0.206161365237	-0.0831329488086	0.273142338003	0.384198890739	0.225317830678	0.0632645435595	0.165195360844	-0.0152589578232	-0.317536699356	-0.31014993285	0.577528941911	0.472833966576	1.49438314171	1.33390186566	0.746668415205	0.875386866123	0.868690563612	1.25705994986	0.116544684911	0.196625831435	-0.696776918841	0.0677110766662	0.00896291895256	-0.218864743342	0.191233662004	0.695987522481	0.562698599823	0.807814344978	-0.283698617932	0.567774493723	0.813583286107	0.803492694315	0.299031093329	0.269927850643	0.548279874752	0.718893291597	0.861679876998	1.11308244227	0.945888300136	0.602586932734	0.734902849309	0.103210653948	0.895161929068	0.737439872847	1.32207986889	1.27355523791	1.28489462151	1.50091468738	1.511451935	0.803004740702	0.490329652948	0.573635980583	0.496605734199	0.616700576646	0.283513209565	0.0953062859869	0.882821244176	0.893473040821	1.11224111565	1.15514503681	1.41283919914	0.828215695627	0.642397326867	0.887701297653	1.31872523259	1.71962763987	1.82765507288	1.95397470886	2.00987929318	1.54839838118	1.79378569444	1.7638560557	1.45121888486	2.02582525584	1.79913365003	1.98137802629	0.852657956519	0.970050561419	0.836785470016	1.72452550853	2.19164941788	2.38847092577	1.18424054851	1.63718985879	1.46675189171	1.71310558703	2.38915631449	1.91247403389	1.97912163437	1.67326457349	1.2833515979	1.45000907236	1.21306787022	0.902786256738	1.61054287486	1.55702442707	0.649922089081	0.838336051718	0.945119111307	0.405121522781	0.703226685939	0.660889732412	0.760082145677	1.87733768926	1.85612726761	1.53209847595	1.55875092527	1.44733099102	1.38744895065	1.22935319878	0.905130331149	1.48888954975	1.22931461907	2.34656579572	2.18452645888	2.26739273108	2.50821245206	2.93118762654	2.77146485014	2.27218142824	2.46036754308	2.25707167957	3.32835809705	2.93275564074	2.38191035772	2.35433063341	2.89053147702	2.58694566644	2.54624808934	2.36181573432	2.06421229646	3.93596229962	3.81638834204	1.75881708896	2.14183434277	2.27953959035	1.92338609032	1.95955527382	2.27405456603	2.48585644314	2.60191127106	2.56269410974	2.16752580102	1.96854217402	2.10732026757	2.43068494697	3.1716248573	1.65425294452	2.14827184092	2.33841424506	2.30170514591	1.46409543551	1.82460227666	2.07232759236	4.42147852228	4.41372263497	4.43001934088	3.38325011741	3.93260990721	3.86476857655	2.51415551895	3.23468832249	3.55689488997	3.63735178646	3.47511882819	3.67413757918	3.46881220256	3.21719592016	2.90564250357	2.72930544664	2.99381743181	3.28600226457
Gamma-aminobutyrate (GABA) biosynthesis and metabolism	1	-2.15626339212	-2.52313806285	-2.98824577655	-1.5303223237	-1.63081206985	-2.12984248615	-3.91986174417	-3.93778841695	-4.78330263379	-4.29217504763	-6.22069226296	-4.85283544837	-4.31351587944	-4.49545421152	-4.3363973779	-5.50041803842	-4.1386054238	-3.86158852904	-7.64907543208	-4.6014673354	-4.72355605931	-4.20800293123	-5.88772334056	-4.10171876197	-5.00975959358	-7.18870834643	-7.16902289561	-6.95340393667	-0.62048523281	-0.213650155784	-1.03043339749	-0.735448717528	-1.45439147896	-1.05979221091	-2.24744693126	-2.11530261217	-0.617764142651	-1.0866764165	-0.767552687834	-1.26291067392	-1.36483626432	-2.45115474404	-2.18388659119	-1.9435048484	-0.530782673859	-1.81294126791	-0.488279460415	-0.30687418221	0.0521255399755	-3.26739029276	-1.11610277571	-1.64845207772	-2.2207441189	-1.44940071034	-0.996868668079	-0.0663797381817	-0.363965000486	-0.688693238822	0.230839667835	0.143695881483	-0.600473293229	-1.20337025666	-0.658583560796	-0.164882928158	-0.0896844831776	0.0194930791225	1.22832733367	-0.136213260129	0.0529471067589	0.143078450912	-0.544989593775	-0.196923867796	0.516292774825	0.252548263938	-0.13241706827	0.13749828411	0.639162245851	0.948407620542	0.61559945599	-0.776447105197	0.191150182347	0.25851169685	0.0987930841888	-0.0543828012185	-0.101672147253	1.13756727742	0.570945242053	1.05758392292	-0.344270724925	-0.334649740657	-0.353207442994	-0.698238724697	0.0156297917199	-0.849928846918	1.34544039813	1.11821695719	0.402872375946	-0.462247197746	0.144782234513	-0.133346862196	0.129688349933	-0.884408556053	-0.885146907288	-0.529534427594	0.122093027784	0.0617358341899	0.562443633442	0.180045309785	0.023611484977	1.21868920343	0.43620791239	0.672755018478	0.773905721127	1.2044727743	0.913073718627	1.05800324826	1.23452227736	1.27428257836	1.24371094722	1.2690792619	0.0394880126262	0.152133643773	0.696332461807	1.3410584327	1.04946263708	1.03233377328	1.19177355417	0.96220261466	0.557102378871	0.643088522006	0.563931953849	0.54327805961	0.517623014818	1.47982811932	0.927291471451	0.950532701015	1.4287410743	1.18313565233	1.73783973638	1.24669269224	1.29051611569	0.638614606598	0.838849104639	2.16001378341	2.09311221186	1.42731089	1.9642811209	1.71464799181	1.00799466774	1.10147966014	1.27241934267	1.13911104922	1.13397424009	1.13054662078	1.42258328928	1.78386988709	1.60248308821	1.63436713618	0.880370604644	0.807122328027	0.93184583429	1.09736726361	0.710094602094	0.902024519656	0.823171668347	1.49392658735	1.34950083042	1.2881434692	0.641020117794	0.206216310552	2.02993577888	1.69685347867	1.22244246427	1.42022289871	1.4734920518	1.4093162346	1.45222849208	1.89840199502	1.52621879166	1.75625196953	1.44539488497	1.29619258117	1.48738451037	1.380392191	1.67275659552	2.00115537163	0.777194898396	0.270156476308	2.91124922134	2.58604183832	2.01627088793	2.25564692065	1.92054045885	1.38571691512	2.20906860903	1.96873253328	2.55864828686	2.39221650621	2.31770100457	2.59071919767	2.76806766541	2.2149397956	2.2990846694	3.08020172377	3.40660971506	2.55239832835	1.87328539355	1.69718821513	1.85141455552	2.25786249016	2.59207404932	2.10418865545	1.98549392675	2.05300978426	1.53977922207	2.07625408643	2.69186785136	2.23594182486	2.78103300829	2.27836420335	2.0017576967	2.37744979433	1.99762650933	0.888965876265	1.32967333352	1.46095008792	4.74538108435	4.18077419009	3.84236811458	3.59721522485	2.64053369511	2.80541952385	2.43584018115	3.28339665493	3.06834041875	3.12256035308	2.93731015575	2.69419094097	2.98364169311	2.74182754782	2.09767404334	2.67731592804	2.56040403023	2.34585769685
Catecholamine metabolism / Human version	2	-2.87790310012	-2.69644216532	-2.7566314083	-2.93220274638	-2.98185015371	-2.32753814046	-1.97707299171	-2.89965335782	-3.41795983992	-3.73642764959	-2.70359666997	-4.00957319795	-3.65575203071	-4.18664715798	-4.80041132116	-4.88495723605	-4.44295275913	-4.81522606377	-6.05871541812	-5.26266814102	-5.42170978773	-5.50695321025	-5.58670811452	-5.26010426636	-5.53651802081	-5.84298071216	-4.75460066265	-4.96492329326	-0.893112973363	-0.63284965639	-0.672944967606	-0.69574513856	-0.597381103834	-0.838812390846	-0.451879335931	-0.779263195099	-1.12494587897	-0.860359278345	-1.10895087812	-0.805570206337	-0.76476162945	-0.899180791188	-1.17758808032	-0.976305817205	-1.30115166529	-1.86414544234	-1.02571942787	-1.57582400729	-1.66085619997	-0.722125043322	-2.09523016836	-1.52114637381	-1.53819223322	-0.419214849229	-0.125080913866	-0.755058111825	-0.73781053356	-0.952334596021	-0.880936055834	-0.385828632385	-0.338679992273	-0.493208358426	0.254673735179	-0.0361897862609	-0.257354302001	-0.270906814719	-0.753099425304	-0.649286630169	-0.540107915194	-0.600089419699	-0.515152274699	-0.786409621859	0.0251458576231	-0.0899643020868	-0.0296019635287	-0.0574694786737	-0.27419663408	-0.126408987424	-0.118357717809	-0.0167812397635	-0.0932561938023	-0.181988613307	-0.266201102596	-0.220085994082	-0.0381247772054	-0.231204069804	0.028391100159	-0.240354501242	0.0770704629985	-0.12593050858	0.243915904898	0.235173891403	0.463384208454	0.232034763402	0.238704310794	0.285352448529	0.0313818477158	0.361128414853	0.139003716214	0.265214880052	0.738616774723	0.807551552714	0.532572158958	0.70419727882	0.628799681785	0.610666751891	0.443627252174	0.453309198444	0.573880623079	0.0362142170182	0.304648749675	0.496930944698	0.223305081715	0.436276050634	0.122826285817	0.432333317193	0.164531308893	0.443804923529	0.329743686819	0.366848919505	0.479719618709	0.773095629118	0.719946771758	0.396176073418	0.685057396927	0.586715163255	0.819874546855	0.947067804051	0.799955196529	0.847917399846	0.730582869017	0.764240407627	0.755279872432	0.618829799396	1.14137401384	0.926604830744	0.609565500292	0.673803672875	0.602714769721	0.677788471701	0.668287233652	1.20126151511	1.56991503295	1.06432209233	1.12203352996	1.44231894865	1.11028947995	1.18694849519	1.64327235577	1.51772193399	1.70002144542	1.55342660956	1.73671278175	1.43206312237	1.56756340956	1.46568270958	1.31760616765	1.10320644131	1.0358175957	1.66416567051	1.39361532064	1.436166993	1.20653887229	0.936665529265	0.756598879972	0.883552527194	0.836468844533	1.0169424066	1.38929367325	1.17199013874	0.803810785847	0.96650826224	1.13791252866	1.16800918155	1.20977911813	0.977517446723	1.0394516613	1.05821869421	0.832288182056	0.959611910652	1.08483997449	1.15756270165	1.15567184476	0.970513658875	1.10635105401	0.70763717483	0.754481581704	0.799231576094	1.7225225762	1.81467449656	2.01612202398	2.07285136892	2.02091169439	2.30563583195	1.72689787432	1.80153961544	1.8760170368	1.75503756272	2.03275348052	2.14666016965	2.02415878305	2.13994435976	2.43797022338	1.45989270473	1.53389623854	1.73040554355	1.82920141572	1.70103000174	2.03542668756	1.76925833971	1.87424415549	1.98260760608	1.88369399128	1.67525970897	1.52854800651	1.41367838234	1.42758730668	1.3317115316	0.964473637054	1.55271613463	1.56053070777	1.39075380987	1.70347281979	1.91647081737	1.70421944676	1.8172243367	3.66515744479	3.25710147435	3.53691623945	2.71299567427	2.68844041674	2.857737798	2.60860169379	2.42570129002	2.34284785771	2.24559208747	1.91784456018	2.08309429767	2.25277821615	2.42392881057	2.59644524054	2.57964129598	2.33314615571	2.49096086383
Catecholamine metabolism	2	-2.87790310012	-2.69644216532	-2.7566314083	-2.93220274638	-2.98185015371	-2.32753814046	-1.97707299171	-2.89965335782	-3.41795983992	-3.73642764959	-2.70359666997	-4.00957319795	-3.65575203071	-4.18664715798	-4.80041132116	-4.88495723605	-4.44295275913	-4.81522606377	-6.05871541812	-5.26266814102	-5.42170978773	-5.50695321025	-5.58670811452	-5.26010426636	-5.53651802081	-5.84298071216	-4.75460066265	-4.96492329326	-0.893112973363	-0.63284965639	-0.672944967606	-0.69574513856	-0.597381103834	-0.838812390846	-0.451879335931	-0.779263195099	-1.12494587897	-0.860359278345	-1.10895087812	-0.805570206337	-0.76476162945	-0.899180791188	-1.17758808032	-0.976305817205	-1.30115166529	-1.86414544234	-1.02571942787	-1.57582400729	-1.66085619997	-0.722125043322	-2.09523016836	-1.52114637381	-1.53819223322	-0.419214849229	-0.125080913866	-0.755058111825	-0.73781053356	-0.952334596021	-0.880936055834	-0.385828632385	-0.338679992273	-0.493208358426	0.254673735179	-0.0361897862609	-0.257354302001	-0.270906814719	-0.753099425304	-0.649286630169	-0.540107915194	-0.600089419699	-0.515152274699	-0.786409621859	0.0251458576231	-0.0899643020868	-0.0296019635287	-0.0574694786737	-0.27419663408	-0.126408987424	-0.118357717809	-0.0167812397635	-0.0932561938023	-0.181988613307	-0.266201102596	-0.220085994082	-0.0381247772054	-0.231204069804	0.028391100159	-0.240354501242	0.0770704629985	-0.12593050858	0.243915904898	0.235173891403	0.463384208454	0.232034763402	0.238704310794	0.285352448529	0.0313818477158	0.361128414853	0.139003716214	0.265214880052	0.738616774723	0.807551552714	0.532572158958	0.70419727882	0.628799681785	0.610666751891	0.443627252174	0.453309198444	0.573880623079	0.0362142170182	0.304648749675	0.496930944698	0.223305081715	0.436276050634	0.122826285817	0.432333317193	0.164531308893	0.443804923529	0.329743686819	0.366848919505	0.479719618709	0.773095629118	0.719946771758	0.396176073418	0.685057396927	0.586715163255	0.819874546855	0.947067804051	0.799955196529	0.847917399846	0.730582869017	0.764240407627	0.755279872432	0.618829799396	1.14137401384	0.926604830744	0.609565500292	0.673803672875	0.602714769721	0.677788471701	0.668287233652	1.20126151511	1.56991503295	1.06432209233	1.12203352996	1.44231894865	1.11028947995	1.18694849519	1.64327235577	1.51772193399	1.70002144542	1.55342660956	1.73671278175	1.43206312237	1.56756340956	1.46568270958	1.31760616765	1.10320644131	1.0358175957	1.66416567051	1.39361532064	1.436166993	1.20653887229	0.936665529265	0.756598879972	0.883552527194	0.836468844533	1.0169424066	1.38929367325	1.17199013874	0.803810785847	0.96650826224	1.13791252866	1.16800918155	1.20977911813	0.977517446723	1.0394516613	1.05821869421	0.832288182056	0.959611910652	1.08483997449	1.15756270165	1.15567184476	0.970513658875	1.10635105401	0.70763717483	0.754481581704	0.799231576094	1.7225225762	1.81467449656	2.01612202398	2.07285136892	2.02091169439	2.30563583195	1.72689787432	1.80153961544	1.8760170368	1.75503756272	2.03275348052	2.14666016965	2.02415878305	2.13994435976	2.43797022338	1.45989270473	1.53389623854	1.73040554355	1.82920141572	1.70103000174	2.03542668756	1.76925833971	1.87424415549	1.98260760608	1.88369399128	1.67525970897	1.52854800651	1.41367838234	1.42758730668	1.3317115316	0.964473637054	1.55271613463	1.56053070777	1.39075380987	1.70347281979	1.91647081737	1.70421944676	1.8172243367	3.66515744479	3.25710147435	3.53691623945	2.71299567427	2.68844041674	2.857737798	2.60860169379	2.42570129002	2.34284785771	2.24559208747	1.91784456018	2.08309429767	2.25277821615	2.42392881057	2.59644524054	2.57964129598	2.33314615571	2.49096086383
Serotonin - melatonin biosynthesis and metabolism	2	-2.93216045053	-2.96652846039	-2.70703323166	-2.87548757254	-3.10362611741	-2.59221883143	-1.83584199525	-2.77570174278	-1.9472823761	-2.33703076797	-3.16632802078	-2.59982675563	-3.63807623953	-4.10669843506	-5.19398052576	-3.67435968692	-4.43172351518	-4.87924915651	-5.60553144104	-5.2189086466	-5.40198111498	-5.37256785401	-3.89910410882	-5.2109465257	-5.53210216138	-4.99873174841	-4.16978572091	-5.06555454586	-0.666128937076	-0.947679561947	-0.623488555443	-1.03159288773	-0.696081166248	-0.906058700373	-0.631218484518	-0.301609719041	-1.41575461015	-1.09627330703	-1.12958405725	-1.09287825737	-0.876711125477	-0.808827047985	-1.14620023013	-1.19408703403	-1.46959781003	-1.37782045887	-1.04141664809	-1.78659985575	-1.4610488752	-0.678426086429	-2.05497954425	-1.51474477731	-1.66125335605	-0.419806378881	-0.153870054811	-0.664894227153	-0.730462704632	-1.29477659113	-1.17365825512	-0.621843781793	-0.642862302791	-0.552493272828	0.0270518121988	-0.0929804594576	-0.108869045189	-0.349174838424	-0.376782931886	-0.424561677612	-0.749678009437	-0.713134103364	-0.606389954943	-0.64181699792	-0.228224840344	-0.138531516656	-0.199937851568	-0.196208587522	-0.148251007333	-0.0943166227213	-0.162551080773	0.257538316083	-0.145744593102	-0.0916115130388	-0.653972890719	-0.321764515552	-0.260321204884	-0.202689346462	-0.406864612867	-0.487130220426	0.0162555994203	-0.34066904903	0.273120391828	0.137949464786	0.272482119738	0.87682489923	-0.00167218841976	0.461144291689	-0.0997071230572	0.317558474033	0.0664454900027	0.113481749806	0.837773199852	0.617068992346	0.583604190726	0.674397059486	0.603844023604	0.63978250232	0.543712513907	0.75176769113	0.420440248504	-0.127001701832	0.186512803464	0.15654889539	0.342619908424	0.429220949081	0.225062538757	0.090189264213	0.293767640826	0.0116716099512	0.446147152879	0.132880860635	0.38270349479	0.70448710049	0.43194871205	0.484775067337	0.614061964193	0.735361599283	0.71227513469	0.943166969663	0.967115093239	0.500664431681	0.513593533874	0.837252947204	0.687225265158	0.674420892467	0.829010052115	0.834386190446	0.475353200222	0.295180390871	0.655069277774	0.519242259392	0.590277806778	1.50955935806	1.23738167989	1.25496924647	1.17704102046	1.13787313934	1.18693691291	1.17933621027	1.74010692703	1.58914608215	1.57355302081	1.6161914126	1.39672574302	1.23532431667	1.4318526437	1.59937757689	1.47554689632	1.10055760417	1.34826239749	1.14926567913	1.25384782823	1.49889656169	0.949092462237	0.92534681062	0.709444001816	0.702386411365	0.950667595681	0.650506685973	1.08665049631	1.26124033813	0.96007646599	1.19852859778	1.04989143933	1.18961815201	1.08895952667	0.984892873229	1.06358396258	0.924885278762	0.61534495623	0.727368338209	1.19259530519	1.10625303711	1.39727746643	1.24062842007	1.12703924909	0.50890512534	0.959336958479	1.04553487663	2.04655449558	2.05591126681	2.13055661746	2.32374161181	2.26229019054	1.91627763566	1.55290174193	2.01113779805	1.98770671506	2.09984006019	2.12479900843	2.13651415204	2.03184918094	2.06072475383	2.42795232855	1.47024496016	1.73920598328	1.90761286204	2.08003831199	1.74205333315	2.19583963464	2.02589467637	1.66423214275	1.81521241501	1.8403027293	1.82331778657	1.54280761357	1.62351098583	1.13962321134	1.24815110864	1.47876901429	1.68228034252	1.74219509721	1.49050437426	1.7267142311	1.94079653814	1.84176624537	1.88195914974	3.78793274803	3.16764524853	3.49032749762	2.95011693034	2.87542831948	3.00948695011	2.49066992875	2.71419221673	2.22762081228	2.42407755476	2.11353797397	2.18276084893	2.36932299011	2.47251441103	2.42170809238	2.60383112285	2.57043302596	2.54318386422
Phenylalanine metabolism/ Rodent version	2	2.96431892091	2.53900678009	3.00618045986	2.87573605031	2.78881712821	2.45013085137	1.93890435902	2.68957199885	2.80751974995	2.96893940625	2.22630774656	3.17580923907	4.72851709107	3.60779828072	5.03939235192	4.07851305838	4.27331621924	4.73413674078	5.28544190972	5.3735105725	5.39990647184	5.64005958886	4.92553796167	5.47581520345	5.49366731982	4.90847738727	5.07534898303	4.85269522385	0.598790108584	1.20086177375	0.535871900737	1.10550794672	0.997536102546	0.933536711536	0.628033567258	0.512857344345	1.45834337281	1.37887603195	0.97950197	1.1411173952	1.17983984707	0.716916035924	0.859407225715	1.32585693773	1.66658478653	1.35831661419	1.30898774243	1.3333531574	1.70422941686	1.02241708072	1.93198561703	1.64623016555	1.64057925819	0.378253004614	0.401669952893	0.589299730934	0.650050578216	0.274716636552	0.706019892553	0.902773276064	0.626204227763	0.539724084753	0.325011353301	0.211363374577	0.287143414354	0.489012127072	0.601557057611	0.450646452295	0.286706412913	0.493519518361	0.330969017892	0.664308212772	0.00537316092745	-0.0705294757583	0.0240657222224	0.131256673967	0.405600799335	0.331075258396	0.217176026359	-0.0288731440578	0.202573196528	0.198051930477	0.348342115313	0.344015359025	-0.135752999459	0.271886133933	0.359289923448	0.271987962515	0.0952281779591	0.100694476868	-0.313238237507	-0.520060526309	-0.400401128668	-0.500857858695	0.124246457697	-0.231967779598	-0.224856294817	-0.354857170355	-0.239593256014	-0.14138664739	-0.613280875931	-0.964144683815	-0.614421197633	-0.524076513156	-0.553790326047	-0.676429106926	-0.496904013669	-0.57047730453	-0.407339262149	-0.122703499729	-0.421152188174	-0.131528086745	-0.23648209393	-0.401770098096	-0.452342296397	-0.227690741838	-0.271651747371	-0.233795165498	-0.46775891451	-0.561681293063	-0.751752047058	-0.770282103531	-0.543404746834	-0.456467688059	-0.256708349047	-0.617125247222	-0.60802889053	-0.63899728501	-0.727009906624	-0.666027478801	-0.763542345973	-0.616192646988	-0.886492485497	-0.688337483816	-0.618011223784	-0.560589935308	-0.543282577063	-0.47739133474	-0.741617470496	-0.532828994767	-0.605533254217	-1.32597342618	-1.12407604976	-1.2353748947	-1.35973805823	-1.05265342416	-1.06649573013	-1.07380863896	-1.78751465017	-1.65677478273	-1.40418108825	-1.60010883538	-1.37875430121	-1.46825498502	-1.61802342932	-1.33556502754	-1.50175496635	-1.63399732389	-1.59019577789	-1.34686613653	-1.5308293285	-1.44929818656	-1.008262243	-0.933622953377	-1.17394556526	-1.00263807918	-0.909662781706	-0.659403376146	-1.27878515088	-1.6045475169	-1.04109134087	-1.01596147891	-1.06566331132	-1.0157770344	-1.02073592366	-0.906767339189	-0.871463816522	-0.907901019671	-1.27912361976	-0.984014945458	-1.07427167333	-1.06758769353	-1.24691413753	-1.3841613837	-1.18880686765	-0.945836888415	-1.0640470764	-1.08265059958	-2.16916232138	-2.17898221853	-2.32759022572	-2.20805414256	-2.23953154064	-2.17400174554	-1.88951966601	-1.99064466392	-1.94570661413	-2.18950240827	-2.56721081435	-2.55425902398	-2.3537901979	-2.61251656053	-2.23852575513	-1.83942818153	-2.09337416869	-1.8272941861	-1.86360013341	-2.0548753391	-2.00396003116	-2.04092346623	-1.74645536352	-1.88506958116	-1.82368149327	-2.04285728418	-1.59002599758	-1.47161120086	-1.1345476177	-1.39301051335	-1.25140267256	-1.7503691448	-1.53594031611	-1.71847351917	-1.73278435665	-2.23946826254	-2.03198267714	-1.95156771561	-3.96816304216	-3.55627501182	-3.67686162921	-2.53693120047	-3.03696410705	-2.89599771799	-2.99620688144	-2.70419263362	-2.5758618336	-2.37728442266	-2.33558521029	-2.22087861733	-2.31611903226	-2.34106807211	-2.55430487357	-2.5213709768	-2.69940362558	-2.58845782474
