UID	row_clusters-flat	MUTATION	-	-	MUTATION	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
column_clusters-flat		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Arginine metabolism/ Rodent version	1	-6.2966712967	-7.87851466685	-6.09946349744	-6.10992899812	-3.94978831585	-7.10440872473	-7.46740481355	-6.69922672025	-5.20445622324	-6.71100816238	-6.96869073655	-1.20203593982	-5.21111708764	-9.45651403948	-5.34546979773	-5.03173546958	-5.44015383923	-3.20327101029	-1.74920386452	-0.769426678214	-2.50213055508	-3.94331148685	-0.119873427575	-0.864435646066	0.375192590062	0.181736973536	-2.1771420173	-2.2059241461	-2.24142203936	-1.15191273672	-0.554956557727	-0.372728625919	-3.0750377676	-3.23740605289	-1.07051413855	-2.44954897706	-2.54833106019	-2.64639603117	-0.747974365652	0.737486932617	0.955935545396	-0.681255796437	-0.820635542062	-0.574883678337	1.57186673063	0.447176635726	0.688052489788	-1.85082439462	-0.990229703751	-0.532684227062	-1.73677557651	-1.98762446466	0.795769705062	-0.416102829427	-0.0722047913073	0.349621862587	-0.267679142152	0.177755015676	0.700446577292	0.147634901751	0.0597430503206	-1.44385194036	-0.540678860994	-2.32375716637	-3.67172224757	0.0751676052943	-2.00255785444	1.31490201388	1.65393672755	1.01598579574	1.65852886553	1.6594862249	2.12885574501	1.16929516602	0.54536967552	2.40471566163	1.53907008926	1.39171051095	1.92872495505	1.89041524858	2.29281718455	1.59154596387	0.313972490552	-0.0743946082128	1.75028345918	1.49550115677	1.2895539345	1.45210748164	2.02596190865	0.249664444168	0.85882682121	1.15574829578	1.39400529134	1.57458830636	0.396398626168	0.732925699662	1.63470683452	1.05981256663	1.61013580311	2.06705138922	-0.630090761595	0.41095968287	-0.593942935833	-1.17276872995	0.904807277419	0.473851829315	0.85194270534	0.460251158535	1.89113356564	1.52645982889	2.19556578887	2.09300946682	1.33828703772	0.622255091492	0.924515103477	1.0630247449	1.34645929365	1.08723161544	-0.274116919599	0.315354170174	-0.145915092547	0.748090633636	1.21523564726	1.17192437865	0.115278217708	0.584215852349	1.2658620511	0.0605077383867	1.56166274372	2.1011241742	1.10543717701	1.83241420768	2.06379348206	2.08001624549	1.87321349764	1.33810849375	-0.0359397363531	-0.352370628953	1.11303714682	1.64960081595	0.424556260822	0.723248041587	-0.0715432050786	-0.20170257008	-0.168878770082	-0.501739102657	0.870601438608	0.995939791057	1.17493928744	0.743586331845	0.945727908665	-0.0437691896308	0.277952517912	1.9579778285	-0.725271940042	-0.242353128906	0.570149887933	0.15901073052	1.20883769044	0.560063742214	-0.431410540739	0.133066515069	-0.756308612384	-0.295027689118	3.33785029916	3.4127383709	3.09224545561	2.69582428102	2.81640741239	4.11383081543	3.76276943085	3.40838042497	3.61267003204	4.25371833814	-0.297850987796	-0.592617222774	0.501302578799	3.43238912644	3.66225963002	3.31920358267	2.8024031544	2.02542502225	1.52067586006	2.4480234944	2.02745346053	2.95278586965	2.0801756832	2.58501678689	2.48237661994	1.7980183687	1.62517799064	3.15833118422	2.34940417938	3.21823186663	2.29927167631	2.74450076655	3.05897267448	1.85027261896	1.71493391326	1.42577990742	2.2495001697	2.51817149763	1.66063244383	0.619885301864	1.41934536341	1.14699005839	2.53160592536	1.944515502	0.9000905129	-0.0763780313679	1.35094967519	-0.0410639530316	0.464377824921	-0.00593617597436	-0.662585069308	0.073380498197	0.744592344196	1.57099216773	2.6189978471	1.85491179042	3.12480478754	0.707953156093	2.03559224719	2.1037820101	1.64541138649	3.20152707681	2.41751696247	1.21489495951	1.17388057701	0.0918499035196	2.57252966378	2.86290628546	3.1075603375	1.41634342508	0.765543587189	1.69762235711	1.59646582562	1.85881846137	2.63138690571	2.71431701247	0.154976940865	0.837436411683	1.44294303017	1.71258116211
Regulation of lipid metabolism_PPAR regulation of lipid metabolism	1	-10.2933679402	-10.0949124431	-10.6958018887	-9.90550175291	-10.4955768069	-10.217724711	-9.35933787545	-9.77362055641	-10.0700291504	-8.05062558684	-7.83690214039	-1.16496650207	-3.37673636644	-8.94608497805	-8.79370385596	-10.2534495303	-9.97142016785	-3.72315620671	0.301217993042	1.69385124038	-1.2226187994	-2.82590824765	1.00626590254	1.17816208472	0.765105892485	-0.571357278299	0.6623382761	-1.46868629641	-1.18891948333	-1.91968555411	1.28273924235	-0.0105261364483	-0.380258913533	-0.263473301494	-3.8052469767	-1.35456590124	-2.38584504869	-2.1220490377	0.684809054057	1.90943457303	2.00700954719	0.241507575612	1.1172250644	1.10912853493	0.493460079754	1.40725989347	1.35394580759	-1.91951741229	-1.45826643	0.818053542057	0.272178790209	1.1502172745	1.33343029887	0.463782459316	0.710420594089	0.733044935078	-0.227521044651	0.603727739773	1.9447991345	0.597092378592	-0.861291027006	0.366514819893	-1.1502055624	0.0660882247904	-0.407409390602	-2.502838674	-1.10731357054	2.98055419087	1.12708788081	2.07419086022	0.783896306638	1.23165986164	1.54445259861	2.01792620336	2.22123932321	1.91933738993	2.13994330511	1.98645707006	2.08209150604	1.94741547501	2.16255502321	2.3621643093	1.41005658188	1.72236267245	1.44468277163	1.340982524	1.01306055624	0.361434883171	0.0210492589597	1.48811523643	1.32566745975	0.136406512535	1.13063243983	0.643266142328	0.63663989938	1.2969869582	-0.191077959531	0.852566458125	0.420314289662	0.68479528396	2.35946400726	0.396190282942	0.670713296131	1.08198313772	0.921498820224	1.39750996217	1.89553397977	1.22466971997	0.40042984869	0.367053071001	0.753197955043	0.807118815571	1.49600659542	1.23690180701	0.980472501048	1.96614334407	2.06988661676	2.23728667797	1.59812007889	1.9854491959	1.53754628729	2.97692379149	1.99618406166	2.42257319386	1.96494644951	1.94271450826	1.4171099399	1.85747396802	2.93353756927	2.04658908733	2.16017768447	3.15703895462	2.34783295386	2.33074196624	-1.1170066331	-0.731244684665	1.95670988816	0.631697991846	1.14298624268	0.141033830529	0.232497254376	-0.121111840144	0.454358573674	0.286550594109	0.661670387666	0.724513999913	2.18425714097	1.83527978659	0.860309915737	-0.0560064324616	-1.10298202562	-0.0767502099545	-0.641268004431	0.656183866502	1.83832624451	1.29885521674	1.35079834676	-0.338676506077	-0.206915745517	-0.02942337469	-0.0583355163646	-1.01044225988	0.297533239716	-0.268073114592	1.30086071839	1.02108880488	2.77912014971	1.56456703728	1.3654323787	3.65791014195	1.82077093341	2.1983945066	2.96714577531	2.90865435587	0.481011215715	-0.527937521364	-0.346018320836	1.86504087592	2.78116438185	3.03883983717	3.2097963628	2.40369337204	2.27675798646	3.51609640186	2.90406589196	2.74905863936	2.57407126833	1.38196952635	2.28951292509	2.26862953801	2.30638237623	1.98855496119	0.9554158148	1.27314149034	1.83025099716	2.32764678012	3.13969391486	0.976081630038	3.02160920683	2.79657321628	3.04635600255	2.1378243237	0.395566781596	1.10695052056	1.1177270574	1.81917966469	0.939370971278	0.947212922264	1.30047921242	0.928843214125	0.512381608617	1.02697741746	-0.119521907066	0.00973524179104	0.0248822288594	0.486594566614	-0.516873600021	0.665681882751	1.69645952944	1.17116906043	1.27848857478	1.3043071917	0.0245309083625	0.340101563317	2.79345830872	2.41119016623	1.23960358568	1.05126006678	1.62232042196	0.0413573516882	-0.861720079092	-0.286084316767	-0.144540613279	1.07713528283	1.84055249656	2.22418687257	1.98353761679	1.68344366899	1.33454864082	2.11434126099	1.96102338171	1.26614737291	1.76276204001	1.30119996341
Immune response_Regulation of T cell function by CTLA-4	1	-8.15936121743	-7.58977864815	-2.23698657131	-5.17941651083	-5.57013206148	-4.12893447156	-6.3936543449	-5.80258693936	-3.45328919178	-3.38068650192	-0.919977648037	-5.55516361754	0.277064023532	-3.91489686748	-1.06894885487	-3.3110639107	-1.12907274682	-2.79784544965	-5.67535479767	-2.1928278204	0.0891264944039	1.68195911317	-2.64820469937	-2.54444216569	-4.41174076432	-3.46534717584	-2.45868849836	-1.92787808763	-3.91031102197	-4.13097413538	-4.9482844963	-4.26373195825	0.565832028605	0.617482630222	0.419084475735	0.237873404761	-0.10176320941	0.429574038274	1.22724114191	0.407175074868	0.813956819337	-0.0685999935891	-0.360703028284	-0.290769360914	-0.882805517016	0.212010532147	0.11585732096	1.68432532041	1.98574229733	1.25821782454	2.39985018427	-0.441629119435	-0.0449074373904	-1.34029247762	-1.33106435083	-1.02170080204	-2.92418795127	-0.947520813782	-2.35197969713	-1.95362153994	-1.7300106161	-1.44842621942	1.68474890965	2.51074815985	-0.367465493447	-0.94595568181	-0.624544844251	0.286738951213	1.7176387193	0.673230985015	0.838217431222	1.25120485253	1.02313693391	1.10962198084	1.42710179462	1.32526498471	1.82962316112	1.69006662066	2.03979943334	1.61459005685	1.52920129495	2.55593617355	0.906754850253	0.233517616517	-0.08536900797	-0.409500377537	-0.0402455611482	0.500425845434	0.6459829616	2.08938198173	1.50325825981	1.84679275494	1.79421421996	2.22518640728	1.37970908526	1.01162801165	1.37066437788	1.38455807184	1.66756881893	0.88336626872	1.64428376075	1.92115829236	2.12633628225	1.87988541356	1.09290545073	1.20717680957	1.40042586084	1.93747904438	0.871630968306	0.813276953445	0.96302899346	1.43824209608	0.216940369899	0.708619609403	0.309275162066	0.696887836015	0.907606870898	1.11068920874	2.13150431968	1.6118991649	1.95446023161	1.82553513301	1.00434976064	0.957277772904	2.13200148859	2.02129287061	2.64847096484	2.37197092452	0.147155646159	0.481397255429	2.30647460361	1.42381969358	1.8866524755	2.04136116486	0.529170573387	0.603177541601	-0.28265897746	0.266325273355	-0.124687689553	0.270935119007	0.00138290063361	-0.444489169204	0.83443606983	0.0591031136128	-0.269903776563	-0.575947430737	-0.640032087424	-0.5530584132	-1.34985687013	-1.09415861964	-1.52464958309	-1.81069351285	-1.31382432834	-1.17741224296	-1.12513221105	-0.70418234766	-0.74462880771	0.0850312357108	-0.192130675454	0.258932051437	0.488833916533	1.05672773056	-0.720086202614	-0.466254529165	3.30050013366	3.71489031872	3.67272053139	3.49033888671	2.61287297838	3.92951051298	2.19526143776	4.32477967339	3.40298919893	2.35824389475	1.58710234295	3.92806476485	4.55890111155	5.09637714935	4.33965097217	2.98612817353	2.86505170553	3.79468780436	4.00223806589	3.76544445685	3.16638578304	2.26567007167	1.69655841632	1.99244977838	1.433826286	1.84031149287	3.43423222837	2.49141078936	2.66481979139	3.05152536315	2.55563120421	2.51805504188	3.69056501885	3.63781853332	3.29013925978	2.84534819492	2.64803840268	2.63835225523	3.30817989859	3.96544361661	3.83477452575	3.17321888548	2.74453805435	3.33495694377	2.78464820096	0.317074311471	-0.983152078602	-0.413007279836	-0.869925923891	-0.421422756125	0.282540117928	-0.0183550714649	-1.86113686433	-2.51051763568	-1.27022432281	1.1934179147	1.63706360646	2.24290150481	2.22645452984	-0.109021386286	-0.032779316999	0.199558669005	0.808708282695	1.7866640425	1.88333648672	1.35341228558	1.91406894314	0.619860712633	1.2747566947	0.218359549927	-0.223400602028	0.0190984038056	-0.838241386073	-1.13555442064	-0.412094996288	0.363257779545	0.371138054679	1.00437667797	0.652352347356	0.275325748179
Fructose metabolism/ Rodent version	1	-6.57828944655	-8.60460927737	-6.65643253722	-4.74529308962	-5.66929776043	-4.73087317736	-3.36912209705	-2.80505522763	-4.53223910695	-5.54321499038	-3.89218652298	-3.94251565193	-3.99864889319	0.177856926143	-3.57492356977	-2.19886739238	-3.60606070106	-3.19571850439	-1.32866873021	-3.25019553089	-2.92922599201	-1.27767252501	-2.44179198674	-2.25233548335	-1.98893711796	-2.32742357006	-1.6594133541	-1.45347986065	-1.03676281585	-1.08964813662	-0.288886881708	0.732062339305	0.835905123198	0.940141036433	1.05810981679	1.87204119418	2.11323562608	1.97617423158	-1.1796516849	-0.841740067287	-1.39850543545	-1.19466442999	-0.868039504309	-0.902105983002	-1.08786754886	-0.898990734363	-0.938423855114	-1.00245026663	-1.60892432517	-1.37094460109	-1.58982079783	-1.57483183088	-1.98081718834	-1.28973423625	-1.39329233635	-1.50673461945	-1.24972522911	-1.80960107532	-1.88279166221	-1.14335515259	-0.4140345226	-0.325856894721	-1.72261793861	-0.446919291945	-0.300046260579	-0.605376513828	-0.661979465276	0.728218682706	0.619669534917	0.820731809746	1.2243291701	0.738237147217	0.753569146591	1.23666350669	0.923684960085	0.135946605322	0.281501138433	0.854277905387	0.641663894275	0.611944837328	0.742287714694	0.0661064434386	0.9941700196	0.966384861839	0.61166512886	0.400017077957	0.320869156224	0.754496373059	0.714176052009	0.862610461105	1.64554662286	0.95489589552	1.29696274672	0.865264316348	1.24981247326	0.81911814939	0.345161649143	0.490847597141	0.581304429876	0.246986983948	0.894404670627	-0.0485952838548	-0.0618683760539	0.764511928839	-0.601989456694	-0.285046702022	-0.634767907652	-0.419468169826	-0.194135614059	0.0166706774715	-0.0104458213841	0.286438606398	0.625282387357	0.225350667652	0.361419889835	0.227125470195	0.0772489830737	0.512108019269	0.0711174095694	-0.197979335786	-0.452500893709	-0.245138293628	-0.773544661301	-0.737905839309	0.117068126031	-0.107926080124	-0.217741607782	0.380303854813	0.243416607393	-0.651778474468	-0.367562536935	0.0779115297744	-0.120008594956	-0.11002599165	0.140284761266	0.000446624099111	-0.0571031304816	0.248498390123	-0.376522046844	-0.303539618223	0.797839082876	0.142591416297	-0.259687386348	-0.562693353272	-0.409090071871	-0.460594268251	0.025581832666	0.0655907400587	-0.854386353087	0.184895402778	1.09241204497	0.519446416042	0.65815732545	0.0106189804405	0.738684951368	0.740394878373	0.171090741774	1.39261959663	0.936789145105	1.43817145418	0.758699168196	0.322611198976	0.489019535226	0.885145019258	2.96281605374	2.05990553664	2.43512694115	2.0064253454	2.92437350299	0.412072112063	2.2084787123	1.21439039323	1.50650924698	1.53486126264	3.13571924778	2.03911749013	3.06790038972	2.54833863648	4.05658841947	2.98285744214	1.63738169376	1.43279646285	1.26412730073	1.08179751191	0.156775261058	0.820197599194	1.57734817509	1.75377554624	1.3261407843	1.25022188594	1.75875178412	1.71644067936	1.38598265406	1.32811447438	2.04681470998	1.52790575734	0.110898370078	0.352175662832	0.399016803207	0.358554973359	0.347623678107	0.317564972255	0.382694356042	0.144680673847	0.34794167188	1.38825514631	1.74209625697	0.689843169074	1.06269580222	0.149588505749	1.47305108469	1.24942597796	1.50186024609	1.58524440264	1.51675380301	1.92887342801	2.55350412945	1.01311244405	0.725359064186	1.83402357154	1.92594005733	2.43831807749	1.21456885902	2.60573243481	2.48708749425	2.56889654785	2.25698594752	2.03325296749	1.68332840225	1.4837639033	0.786767074806	1.93205708132	1.30168110428	1.67112923389	1.82559283819	1.22863425935	0.825880225997	1.46874624973	1.3724620936	1.07928079014	2.29280912959	1.18514967366	1.29942642161	1.31786935152
Fructose metabolism	2	-6.46015391786	-8.36539148443	-6.72793891499	-4.73538434196	-5.79101281613	-4.85391413812	-3.47552662956	-2.88883442404	-4.70818202743	-5.66044795289	-3.7829616618	-3.84616427195	-4.02644346261	-0.0353786844745	-3.81550505312	-2.19852887072	-3.88480121618	-3.12951425431	-1.20546463401	-3.1746390722	-2.92360183814	-1.43744514904	-2.34484665902	-2.23512079084	-1.87672295854	-2.241769953	-1.54264945063	-1.41942878049	-0.882364067987	-0.989380769498	-0.201472789613	0.81885388405	0.850768980543	0.963047888796	1.09207678741	1.89206582207	2.18860444256	2.07584762387	-1.22114933294	-0.803506888018	-1.34644161526	-1.16701798687	-0.80502389315	-0.840591486615	-1.0472326765	-0.956256265517	-1.01105595286	-0.831743810545	-1.66402398477	-1.43087834345	-1.7638076042	-1.68879436881	-1.95827191778	-1.26938983207	-1.35900537463	-1.44819556817	-1.22829487857	-1.73818802618	-1.80385806219	-1.13440399759	-0.251055062666	-0.307536498735	-1.73318088298	-0.49046851789	-0.139153568484	-0.626838532073	-0.587916515102	0.700308725223	0.600038130927	0.767400060123	1.19601027091	0.697575496766	0.762816591561	1.22602910207	0.971554282222	0.192067771686	0.278440998957	0.840443126541	0.677017765717	0.645555469398	0.66848624905	-0.0516236294922	1.11246464736	0.944837438692	0.696391633019	0.360160128288	0.324315722917	0.751056080795	0.689635505182	0.780213217529	1.60303980476	0.913213060944	1.28056912189	0.881150762759	1.25691511106	0.758976333607	0.345344102758	0.458411262796	0.673224432787	0.178908929696	0.794366255304	-0.0268503800149	-0.232027611305	0.844080047362	-0.685685998783	-0.327265450989	-0.647340912653	-0.41847586421	-0.227332245347	-0.00605637259818	0.0604012315802	0.267444188121	0.542990918189	0.124701150847	0.379695377379	0.269736636269	0.0278883992059	0.483229237484	-0.021328031033	-0.214806496589	-0.463037608531	-0.29456318711	-0.808859983755	-0.755139461492	0.0969568974993	-0.246230365939	-0.35228316785	0.26879033929	0.225184226196	-0.649337001251	-0.368522965352	0.0113183050448	-0.154078530499	-0.151178706569	0.129713945295	-0.0729818637241	-0.0835838682869	0.179382500709	-0.380861482275	-0.339713578932	0.792161454569	0.143136622575	-0.404021961964	-0.603093049955	-0.409027128142	-0.453124732465	0.0392474286532	0.201486229079	-0.794843522026	0.248459910123	1.21956432475	0.641826008076	0.720090747376	0.0769372190012	0.806149095472	0.718536491423	0.267988125211	1.5311819655	0.980496561401	1.51210104205	0.638195025646	0.273300092318	0.496568896594	0.971150831833	2.87828138394	2.03363623983	2.28024390726	1.93218189917	2.78294473354	0.405027939709	2.14015213697	1.10111392297	1.386190971	1.46632863779	3.03729920491	2.04583328189	3.08902677882	2.41052959866	3.99803980916	2.92106796542	1.46790543809	1.30516207701	1.28203175268	1.04903150834	-0.00959756093219	0.783358304622	1.61270109139	1.74945666276	1.39736609574	1.21510328662	1.64997994024	1.73163522093	1.20842790591	1.26429922312	2.05676666923	1.46349964482	0.0634132827772	0.15241897274	0.307698657156	0.466531694074	0.301580537766	0.26798492733	0.239199628006	0.0274642771128	0.257259254675	1.25143690544	1.73649202633	0.6480260989	0.93599613245	0.0395784973873	1.47170353082	1.24754336623	1.51330948452	1.62547644439	1.52037404052	1.95281010977	2.57502139575	1.14169142984	0.748551951551	1.7632310442	1.88827424539	2.41787607111	1.19268559426	2.51390149285	2.51380992364	2.56568008118	2.18540938251	1.93211230366	1.54797914067	1.35821528204	0.724742265974	1.95013679401	1.3063305438	1.69700293748	1.74242499999	1.13996181657	0.750090098632	1.52448479178	1.33498449912	1.02979053775	2.36527332368	1.20420601917	1.38476341633	1.26358743347
Glycolysis and gluconeogenesis (short map)	2	-8.39471899666	-8.5931453741	-4.9417721979	-5.05472150677	-2.89503016845	-2.96560005752	-2.76654754357	-2.92862932571	-1.99248826515	-3.98020551694	-5.01210328898	-5.37000401681	-4.28215863635	1.97721909792	-1.01024967986	-2.55832631206	-0.954668559977	-1.77685642266	-2.67155551474	-3.8249559638	-3.71997376471	0.474675584228	-3.24192593129	-2.77581105128	-2.50736259289	-1.59057459199	-2.4450723059	-1.96798257758	-1.7743803004	-1.8265882721	-0.653464108487	0.869427549099	0.738407230388	0.748434817603	1.10946519978	1.42156755223	1.67463297381	1.35237353597	-1.09770993187	-1.64280262797	-2.24323558384	-1.21883928089	-1.47241585597	-1.1966338449	-0.974562449527	-0.980971579559	-0.79742235105	-2.59982719981	-2.28433446679	-1.47733230553	-1.18528266008	-1.14514516684	-2.4960073569	-1.73234226699	-1.77967372627	-2.3424854884	-1.34122932041	-2.74874831023	-1.87700117842	-0.59286840653	-0.672947970805	-0.409554373267	-0.609624496754	-0.336571956249	-0.993822603482	-0.802195564332	-0.778638339699	0.985893055456	0.417969022967	1.00257661549	0.464347435792	1.00617506213	0.560618374826	0.360872661749	0.739829464522	-0.0989491543644	0.153449215664	0.417925519259	-0.0526053604419	-0.198875211592	0.762162617114	1.11622366089	-0.306886867218	0.800025207493	0.0768588174682	0.817661727188	0.503684359525	0.974410535905	0.311280739486	2.1721543391	1.95227748028	1.71415802831	1.01994223414	1.29673685395	1.04311826459	1.70155668163	0.992068820331	1.08385906588	0.123010135515	0.866487474932	1.30009954906	-0.0724735177639	1.09707760727	0.0865238764823	0.47944825744	-0.0355407827245	-0.573333214114	-0.406751323024	0.388852112141	0.453694161882	-0.313645154709	-0.0295026807564	0.722900146284	0.732641782002	0.29716193237	-0.377264146803	0.404168454892	0.0919830903864	-0.312394731083	-0.655951822133	-0.928817516728	-0.410267060372	-1.06098382367	-1.19119281876	-0.242552104103	0.421962124194	0.267938418803	0.759526416541	0.312019670514	-0.408162144358	0.341408326431	0.281055893113	-0.808702438156	-0.627795328578	0.536152306418	-0.445965310012	0.416178876809	0.645888314931	0.280352564861	0.246541079901	0.496025638244	0.446072013826	0.13056913074	0.362511209942	-0.186408502078	-0.276265595596	-1.10824684019	-1.05300746013	-0.603057691158	-0.686290296625	0.480880043672	-0.877284973991	-0.149668285454	-0.127909472447	0.489202623051	0.442568880645	0.216498301057	0.459017701187	0.602044819696	0.161583745721	1.61966135049	0.88762692394	0.746114152377	0.423557901762	2.50105700384	1.27509531463	3.34008981925	3.60018981726	4.04249037241	0.885097490597	2.70397947179	1.43817925114	2.66462400775	2.19787329358	4.15052018831	3.21334888385	2.21456568539	3.47067009887	3.65925500097	3.86861317334	1.79087137451	1.39347739871	1.65376663099	0.528680047256	2.06350774765	1.09548304023	0.659514271742	1.25912774595	0.940899692175	1.37210989198	2.32581762619	1.86143568996	2.85227814418	1.78730597317	1.64504717761	1.94905306161	-0.828065299346	0.38015769123	0.733957646078	-0.249715739165	0.359846823559	0.503513826525	0.413048341814	0.744960971845	0.243883122278	1.74097471062	0.969118871038	0.682553491372	1.73998422355	2.82666400534	1.76847598475	1.9050108293	1.58535348113	1.50990939796	2.04037889226	1.84511595806	2.71881382504	-0.294112790218	0.392809156067	3.18669954695	2.13778816278	3.18749136182	2.40868332543	3.28642924723	2.10097744685	2.42972071944	1.98002732024	2.84130923378	2.65774704476	3.28089423395	1.3664253411	1.86080724595	1.77069172789	2.24349434369	2.4105702868	2.48827935945	2.04834567426	1.94186851523	1.18845293486	1.73562055897	0.82015645112	2.04875206141	1.232030031	2.10683391627
Glycolysis and gluconeogenesis p. 2 / Human version	2	-4.06562051261	-4.63846600561	-3.97026700974	-4.93208002432	-1.39546305726	-1.20978911093	-2.97836644392	-0.599330855821	-2.20165189934	-3.13946197842	-4.69503007146	-2.87310092811	-4.1314269975	-0.114638730597	-1.49077090192	-1.47209835635	-1.90508169178	0.949996274771	0.0933797058182	-2.79385896498	-2.94377310718	-0.632839027818	-2.24018542025	-2.36504685923	0.331482589157	0.454972775571	-0.172996795307	-2.01776059898	-0.05863920617	0.0317221702239	0.870081478599	1.12229396027	0.792571931368	0.861750708759	0.0830953985489	1.92043094092	2.10783782051	1.79490972239	-1.92597104801	-2.10327178267	-1.54192722398	-0.266347491333	-0.333591592676	-0.219418041046	-1.2090149227	-1.43617628553	-1.30102253609	-1.44209218334	-1.77061131099	-3.0581500195	-2.24080294749	-2.15142579786	-2.73082728517	-1.41053173206	-0.459119655871	-0.761298716734	-0.774374588241	-0.968615257897	-0.545865467316	0.303887359914	-0.161990037565	0.183504053213	-0.0892804730695	-1.46637620876	0.941305489302	-0.908069043029	-0.192622606792	0.504165635181	0.277250847156	-0.258197055474	-0.278225761256	1.10605990535	0.964614234126	0.725596120195	0.502722354516	0.419574679104	-0.0416209749246	-0.178096205447	0.32493741825	0.308070594869	0.331451812525	0.975072548762	0.399572195918	1.31231665605	1.29000990774	0.766579429657	0.807736729988	0.624846675597	0.198626310539	1.2784005904	0.592475537009	0.38592608719	0.625546163301	1.38269155719	1.19421626144	0.612407316563	1.91129344525	1.8711160825	1.53144687024	1.77067636943	-0.299943865084	0.564831770115	-0.352878672277	0.263819438466	-0.36905531279	-0.558551488002	0.460628386992	0.125201218889	0.268256261873	-0.319917342664	-0.28802961527	-0.279025584069	-0.838059290217	-0.843234118057	-0.507198288985	-0.606802131689	-0.0376475704217	-0.251200391351	-1.5712184705	-1.475029472	-1.19085028769	-1.74639495168	-1.15190353972	-1.88781491604	-0.841565388369	-1.64835639076	-0.893620118309	-1.18964907473	-0.263268223429	0.369716207312	0.290200492906	-0.964840488286	-0.780839366335	-0.369140503884	-0.463538840152	-0.61740798046	-0.222323613829	-0.652633026749	0.797376193972	0.223709748333	0.220072201888	0.316750495954	-1.43845985617	0.666048633555	-0.603139859584	0.0683061335617	-0.291343863343	0.0427084469974	0.460056610419	0.0643639557697	0.435848064145	1.41794827054	0.685103907443	1.38013473485	1.40237015469	1.1072287605	2.25715997488	1.54069806632	1.48395098419	0.628409438628	-0.613653163119	1.17594938543	0.260830481795	1.42929915973	1.16968592779	3.0886363159	2.24277068933	2.83999234253	2.0379698838	1.42936362938	0.398472274888	1.76696575422	1.49581671513	2.2524841284	2.99850396532	4.61893228401	2.81776937052	2.18944751884	2.77613587195	4.3968331911	-0.0635120850633	0.483771686766	0.749446106705	-0.14435024056	0.167795275256	1.518584638	0.732612999377	1.08975446577	2.22191351797	1.91752005374	2.19104585758	1.84261844564	1.33998247578	0.122274926246	0.519486960932	1.01739604135	-1.17309420899	-2.01700296764	-0.372245010178	0.364100911581	-0.116858715668	-0.760828988923	0.384149284985	0.751394925101	0.289120457008	-0.106353178473	-0.201741982883	0.722253275165	-0.50342461616	1.94281362527	1.37475752108	1.76436801806	1.51749611518	2.24871855414	1.84198735284	1.80691302321	1.2519003236	2.57338400642	1.92054764425	2.65192209577	2.59177439114	2.033714838	3.56863234537	1.91398214966	3.05549312817	2.96579450403	0.00046672696966	1.65726290796	1.56189534962	2.17344901624	1.80194107344	1.60664589965	2.56446977043	2.79067039056	2.07018933231	3.37360153588	2.79241679743	2.80736478672	1.94540105019	2.55587169746	1.0496456706	2.6285249222	2.26721427681	1.51026077988
